,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
47,02007084,"Ростов ТРК ""Мегацентр Горизонт"" Ballin",,Да,84,ROS-G-BL,"РОСТОВ-НА-ДОНУ ТРК ""Мегацентр Горизонт""",2010-12-11,РОСТОВ-НА-ДОНУ,Ballin,Основной,Да,основная,"Ростов-на-Дону, Горизонт Ballin",Да,2019-07-30,0,,,,SdID|Sex,2023-03-20 05:10:01,0
48,02008110,Самара Куйбышева108 Ballin,,Да,110,SAM-KB-BL,САМАРА Куйбышева,2013-04-10,САМАРА,Ballin,Основной,Да,основная,"Самара, Куйбышева Ballin",Нет,2019-03-22,0,,,,,2023-03-20 05:10:01,0
49,02009092,"Тольятти OUTLET МОЛЛ ""ПАРК-ХАУС"" Ballin",,Да,92,TOL-PH-BL,"ТОЛЬЯТТИ OUTLET МОЛЛ ""ПАРК-ХАУС""",2012-03-16,ТОЛЬЯТТИ,Ballin,Основной,Да,Тольятти- СТОК,,Нет,2016-02-26,0,,,,,2023-03-20 05:10:01,0
50,02011122,"Уфа РЦ  ""Планета"" Ballin",,Да,123,UFA-PL-BL,"УФА ТРЦ  ""Планета""",2013-12-02,УФА,Ballin,Основной,Да,основная,,Нет,2016-02-25,0,,,,,2023-03-20 05:10:01,0
51,03000000,Мск интернет-магазин Тверская 12 Braccialini,,Да,,ONLINE TV12-BR,МОСКВА Интернет-магазин,2017-06-23,МОСКВА,Интернет-магазин,Интернет-торговля,Нет,,,Нет,0001-01-01,105,,,,,2023-03-20 05:10:01,0
52,03001050,"Волгоград МОЛЛ ""ПАРК-ХАУС"" Braccialini",,Да,47,VOL-PH-BR,"ВОЛГОГРАД МОЛЛ ""ПАРК-ХАУС""",2008-03-29,ВОЛГОГРАД,Braccialini,Основной,Да,основная,,Нет,2019-09-01,0,,,,,2023-03-20 05:10:01,0
53,03004045,"Казань МОЛЛ ""ПАРК-ХАУС"" Braccialini",,Да,45,KAZ-PH-BR,"КАЗАНЬ МОЛЛ ""ПАРК-ХАУС""",2007-12-25,КАЗАНЬ,Braccialini,Сток,Да,Казань СТОК,,Нет,2016-03-28,0,,,,,2023-03-20 05:10:01,0
54,03005049,"Красноярск ТДЦ  ""Планета"" Braccialini",,Да,49,KRK-PL-BR,"КРАСНОЯРСК ТДЦ  ""Планета""",2008-05-05,КРАСНОЯРСК,Braccialini,Основной,Да,Красноярск Baldinini,,Нет,2018-02-20,0,,,,,2023-03-20 05:10:01,0
55,03006035,Москва ЕВРОПЕЙСКИЙ ТРЦ Braccialini,,Да,35,EVR-BR,МОСКВА ЕВРОПЕЙСКИЙ ТРЦ,2006-11-30,МОСКВА,Braccialini,Основной,Да,основная,,Нет,2017-03-01,0,,,,,2023-03-20 05:10:01,0
56,03006043,Москва АТРИУМ Braccialini,,Да,43,ATR-BR,МОСКВА АТРИУМ,2007-08-10,МОСКВА,Braccialini,Основной,Да,основная,,Нет,2016-09-20,0,,,,,2023-03-20 05:10:01,0
57,03006056,Москва МЕТРОПОЛИС Braccialini,,Да,56,METR-BR,МОСКВА МЕТРОПОЛИС,2009-01-31,МОСКВА,Braccialini,Основной,Да,основная,,Нет,2014-05-03,0,,,,,2023-03-20 05:10:01,0
58,03006057,Москва Тверская 12 Braccialini,,Да,57,TV12-BR,МОСКВА Тверская 12,2008-09-21,МОСКВА,Braccialini,Основной,Да,основная,Мск Тверская 12 BRACCIALINI,Нет,2019-08-31,0,,,,,2023-03-20 05:10:01,0
59,03006080,Склад 2,,Нет,2000,Склад 2,,,,,Прочие склады,,,,,,,,,,,2023-03-10 17:26:12,0
60,03006082,Москва Афимолл Сити Braccialini,,Да,82,AFI-BR,МОСКВА Афимолл Сити,2011-03-12,МОСКВА,Braccialini,Основной,Да,основная,,Нет,2014-12-01,0,,,,,2023-03-20 05:10:01,0
61,03006129,Москва ГУМ Braccialini,,Да,129,GUM-BR,МОСКВА ГУМ,2014-12-02,МОСКВА,Braccialini,Основной,Да,основная,,Нет,2016-10-01,0,,,,,2023-03-20 05:10:01,0
62,03007067,РОСТОВ-НА-ДОНУ Мегацентр Горизонт OUTLET Braccialini,,Да,67,ROS-G-BR,"РОСТОВ-НА-ДОНУ ТРК ""Мегацентр Горизонт""",2009-04-08,РОСТОВ-НА-ДОНУ,Braccialini,Сток,Да,Cток (регионы),,Нет,2016-01-18,0,,,,SdID|Sex,2023-03-20 05:10:01,0
63,03008051,"Самара МОЛЛ ""ПАРК-ХАУС"" Braccialini",,Да,32,SAM-PH-BR,"САМАРА МОЛЛ ""ПАРК-ХАУС""",2006-10-21,САМАРА,Braccialini,Основной,Да,основная,,Нет,2017-02-21,0,,,,,2023-03-20 05:10:01,0
64,03011121,"Уфа РЦ  ""Планета"" Braccialini","Тольятти OUTLET МОЛЛ ""ПАРК-ХАУС"" Fabi",Да,121,UFA-PL-BR,"УФА ТРЦ  ""Планета""",2013-11-30,УФА,Braccialini,Основной,Да,основная регион,,Нет,2016-02-25,0,,,,,2023-03-20 05:10:01,0
65,04001047,Влг Парк Хаус FABI,,Да,47,VOL-PH-FA,"ВОЛГОГРАД МОЛЛ ""ПАРК-ХАУС""",2008-03-29,ВОЛГОГРАД,FABI,Основной,Да,основная,"Влг Парк Хаус NO ONE, BALDININI, FABI",Нет,0001-01-01,344345001,,,,,2023-03-20 05:10:01,0
66,04004037,"Казань OUTLET МОЛЛ ""ПАРК-ХАУС"" Fabi",,Да,37,KAZ-PH-OT-FA,"КАЗАНЬ МОЛЛ ""ПАРК-ХАУС""",2007-02-24,КАЗАНЬ,FABI,Сток,Да,Казань СТОК,,Нет,2016-03-28,0,,,,,2023-03-20 05:10:01,0
67,04004087,Кзн Сувар Плаза FABI,,Да,87,KAZ-SP-FA,"КАЗАНЬ ТЦ ""Сувар - Плаза""",2011-05-06,КАЗАНЬ,FABI,Основной,Да,основная,"Кзн Сувар Плаза NO ONE, BALDININI, FABI",Нет,2020-11-06,165545001,,,,,2023-03-10 17:26:12,0
68,04005048,Крск Планета FABI,,Да,48,KRK-PL-FA,"КРАСНОЯРСК ТДЦ  ""Планета""",2008-05-01,КРАСНОЯРСК,FABI,Основной,Да,основная,Крск Планета FABI,Нет,2021-04-01,246545001,Mono F,,,SdID|Sex,2023-03-10 17:26:12,0
69,04006003,Мск Капитолий Марьина Роща OUTLET NO ONE,,Да,3,SHER-OT-FA,МОСКВА КАПИТОЛИЙ на Шереметьевской,2003-05-16,МОСКВА,NO ONE,Сток,Да,сток,Мск Капитолий Марьина Роща OUTLET NO ONE,Нет,0001-01-01,772545010,,,,,2023-03-20 05:10:01,0
70,04006004,Мск Тверская 6 FABI,,Да,4,TV6-FA,МОСКВА Тверская 6,2003-05-20,МОСКВА,FABI,Основной,Нет,основная,Мск Тверская 6 FABI,Нет,0001-01-01,772545009,Mono F,,,SdID,2023-03-20 05:10:01,0
71,04006011,Москва КАПИТОЛИЙ на Каширском Fabi,,Да,11,KASH-FA,МОСКВА КАПИТОЛИЙ на Каширском,2003-05-26,МОСКВА,FABI,Сток,Да,сток,,Нет,2015-09-01,0,,,,,2023-03-20 05:10:01,0
72,04006012,Москва КАПИТОЛИЙ на Миклухо-Маклая Fabi,,Да,12,BEL-OT-FA,МОСКВА OUTLET КАПИТОЛИЙ на Миклухо-Маклая,2003-05-26,МОСКВА,FABI,Сток,Да,основная,,Нет,0001-01-01,0,,,,,2023-03-20 05:10:01,0
73,04006015,Москва КРОКУС СИТИ МОЛЛ Fabi,,Да,15,CROC-FA,МОСКВА КРОКУС СИТИ МОЛЛ,2003-11-15,МОСКВА,FABI,Основной,Да,основная,Крокус Сити Fabi,Нет,2018-02-22,0,,,,,2023-03-20 05:10:01,0
74,04006020,Москва ГУМ Fabi (старый),,Да,20,GUM-FA,МОСКВА ГУМ,2004-04-10,МОСКВА,FABI,Основной,Да,основная,,Нет,2017-08-10,0,,,,,2023-03-20 05:10:01,0
75,04006034,Мск Европейский FABI,,Да,189,EVR-FA,МОСКВА ЕВРОПЕЙСКИЙ ТРЦ,2006-11-03,МОСКВА,FABI,Основной,Да,основная,"Мск Европейский BALDININI, FABI",Нет,2021-02-24,772545012,Mono F,,,SdID|Sex,2023-03-10 17:26:12,0
76,04006036,Мск Капитолий Вернадского FABI,,Да,184,VERN-FA,МОСКВА КАПИТОЛИЙ на Вернадского,2006-12-02,МОСКВА,FABI,Основной,Да,основная,"Мск Капитолий Вернадского NO ONE, FABI",Нет,2020-10-01,772545008,,,,,2023-03-10 17:26:12,0
77,04006040,Мск Атриум FABI,,Да,40,ATR-FA,МОСКВА АТРИУМ,2007-08-24,МОСКВА,FABI,Основной,Да,основная,Мск Атриум FABI,Нет,2021-02-24,772545002,Mono F,,,SdID|Sex,2023-03-10 17:26:12,0
78,04006078,Мск Vegas FABI,,Да,78,VEG-FA,МОСКВА ТРЦ VEGAS,2010-06-01,МОСКВА,FABI,Основной,Да,основная,"Мск Vegas BALDININI, FABI, PDB",Нет,2020-08-31,500345001,,,,,2023-03-10 17:26:12,0
79,04006083,Москва Афимолл Сити Fabi,,Да,83,AFI-FA,МОСКВА Афимолл Сити,2011-03-11,МОСКВА,FABI,Основной,Да,основная,,Нет,2015-03-07,0,,,,,2023-03-20 05:10:01,0
80,04006095,Мск Белая Дача OUTLET FABI,,Да,95,BD-OT-FA,МОСКВА OUTLET ТЦ Белая Дача,2012-08-16,МОСКВА,FABI,Сток,Да,сток,Мск Белая Дача OUTLET NO ONE,Нет,2021-09-01,5502745001,Mono F,,,SdID|Sex,2023-03-10 17:26:12,0
81,04006112,Москва ЕРЕВАН ПЛАЗА Fabi,,Да,112,ER-FA,МОСКВА ЕРЕВАН ПЛАЗА,2013-08-02,МОСКВА,FABI,Основной,Да,основная,"Ереван Плаза Baldinini, Fabi",Нет,2018-12-26,772545013,,,,SdID,2023-03-10 17:26:12,0
82,04006117,Мск Fashion House OUTLET  FABI,,Да,117,FH-OT-FA,МОСКВА OUTLET FASHION HOUSE,2013-07-19,МОСКВА,FABI,Сток,Да,сток,Мск Fashion House NO ONE,Нет,2021-10-01,504445001,Mono F,,,SdID,2023-05-29 05:10:02,0
83,04006134,Мск ГУМ CASADEI,,Да,134,GUM-CA,МОСКВА ГУМ,2015-03-03,МОСКВА,CASADEI,Основной,Нет,основная,"Мск ГУМ CASADEI, NO ONE UOMO",Нет,0001-01-01,772545007,Mono,,,,2023-03-20 05:10:01,0
84,04006167,Мск Европейский CASADEI,,Да,167,EVR-CA,МОСКВА ЕВРОПЕЙСКИЙ ТРЦ,2017-12-05,МОСКВА,CASADEI,Основной,Да,основная,"Мск Европейский CASADEI, POLLINI, PDB",Нет,2021-02-24,772545012,,,,SdID|Sex,2023-03-10 17:26:12,0
85,04007061,РнД Горизонт  FABI,,Да,264,ROS-G-FA,"РОСТОВ-НА-ДОНУ ТРК ""Мегацентр Горизонт""",2008-12-04,РОСТОВ-НА-ДОНУ,FABI,Основной,Нет,основная,"РнД Горизонт BALDININI, FABI, NO ONE",Нет,0001-01-01,6616145002,Mono F,,,,2023-05-01 05:10:02,0
86,04008032,Смр Парк Хаус  FABI,,Да,32,SAM-PH-FA,"САМАРА МОЛЛ ""ПАРК-ХАУС""",2006-10-21,САМАРА,FABI,Основной,Да,основная,"Смр Парк Хаус NO ONE, FABI",Нет,2020-10-01,631945001,,,,,2023-03-10 17:26:12,0
87,04009030,"Тольятти OUTLET МОЛЛ ""ПАРК-ХАУС"" Fabi",,Да,30,TOL-PH-FA,"ТОЛЬЯТТИ OUTLET МОЛЛ ""ПАРК-ХАУС""",2005-12-17,ТОЛЬЯТТИ,FABI,Сток,Да,сток,"Тлт Парк Хаус OUTLET NO ONE, BALDININI",Нет,2019-09-01,632445001,,,,,2023-03-10 17:26:12,0
88,04011120,"Уфа РЦ  ""Планета"" Fabi",,Да,123,UFA-PL-FA,"УФА ТРЦ  ""Планета""",2013-12-02,УФА,FABI,Основной,Да,основная,,Нет,2016-02-25,0,,,,,2023-03-20 05:10:01,0
89,05002000,"Екатеринбург ""ПАССАЖ"" Fabi",,Да,169,EK-PAS-FA,"ЕКАТЕРИНБУРГ ""ПАССАЖ""",2018-08-01,ЕКАТЕРИНБУРГ,FABI,Основной,Да,основная,,Нет,2018-08-13,0,,,,,2023-03-20 05:10:01,0
90,05006073,Мск Малая Бронная 24 GIUSEPPE ZANOTTI,,Да,73,BRON-GZ,МОСКВА Малая Бронная 24,2009-08-26,МОСКВА,Giuseppe Zanotti,Основной,Да,основная,Мск Малая Бронная 24 GIUSEPPE ZANOTTI,Нет,2020-12-31,0,,,,,2023-03-20 05:10:01,0
91,05006142,Мск Vnukovo OUTLET FABI,,Да,142,VN-FA,МОСКВА ВНУКОВО OUTLET,2015-06-10,МОСКВА,FABI,Сток,Да,сток,Мск Vnukovo OUTLET NO ONE,Нет,2021-07-01,775145001,Mono F,,,SdID|Sex,2023-03-10 17:26:12,0
92,05006165,Мск ГУМ  FABI,,Да,165,GUM-F,МОСКВА ГУМ,2017-08-04,МОСКВА,FABI,Основной,Нет,основная,Мск ГУМ FABI,Нет,0001-01-01,772545007,Mono F,,,,2023-03-20 05:10:01,0
93,06002072,"Екатеринбург ТЦ ""ЕВРОПА"" NO ONE","Казань OUTLET МОЛЛ ""ПАРК-ХАУС"" NOONE",Да,72,EK-EVR-NO,"ЕКАТЕРИНБУРГ ТЦ ""ЕВРОПА""",2009-10-21,ЕКАТЕРИНБУРГ,NO ONE,Основной,Да,основная регион,,Нет,2016-02-29,0,,,,,2023-03-20 05:10:01,0
94,06002090,Екб Гринвич NO ONE,,Да,90,EK-GRIN-NO,"ЕКАТЕРИНБУРГ ТЦ ""ГРИНВИЧ""",2011-12-26,ЕКАТЕРИНБУРГ,NO ONE,Основной,Нет,основная,Екб Гринвич NO ONE,Нет,0001-01-01,667145001,Multi,,,,2023-03-20 05:10:01,0
95,06004037,"Казань OUTLET МОЛЛ ""ПАРК-ХАУС"" NOONE",,Да,37,KAZ-PH-OT-NO,"КАЗАНЬ МОЛЛ ""ПАРК-ХАУС""",2007-02-24,КАЗАНЬ,NO ONE,Сток,Да,Казань СТОК,,Нет,2016-03-28,0,,,,,2023-03-20 05:10:01,0
96,06004087,Кзн Сувар Плаза NO ONE,,Да,87,KAZ-SP-NO,"КАЗАНЬ ТЦ ""Сувар - Плаза""",2011-05-06,КАЗАНЬ,NO ONE,Основной,Да,основная,"Кзн Сувар Плаза NO ONE, BALDININI, FABI",Нет,2020-11-06,165545001,,,,,2023-03-10 17:26:12,0
97,06006006,Москва NO ONE КУТУЗОВСКИЙ NO ONE,,Да,6,KUT-NO,МОСКВА NO ONE КУТУЗОВСКИЙ,2003-05-17,МОСКВА,NO ONE,Основной,Да,основная,,Нет,2016-02-29,0,,,,,2023-03-20 05:10:01,0
98,06006020,Мск ГУМ NO ONE,,Да,20,GUM-NO,МОСКВА ГУМ,2004-04-10,МОСКВА,NO ONE,Основной,Да,основная,Мск ГУМ NO ONE DONNA,Нет,2023-05-14,772545007,Multi,,,,2023-05-15 05:10:01,0
