,0,1,2
309,2019-07-07,65,25700
310,2019-07-08,65,15163
311,2019-07-09,65,15662
312,2019-07-10,65,15924
313,2019-07-11,65,15673
314,2019-07-12,63,16021
315,2019-07-13,64,23697
316,2019-07-14,64,24440
317,2019-07-15,65,14333
318,2019-07-16,65,14416
319,2019-07-17,63,14908
320,2019-07-18,63,16620
321,2019-07-19,66,16779
322,2019-07-20,65,24800
323,2019-07-21,64,24292
324,2019-07-22,65,14528
325,2019-07-23,64,15147
326,2019-07-24,66,16464
327,2019-07-25,65,17937
328,2019-07-26,64,17145
329,2019-07-27,62,23537
330,2019-07-28,63,22932
331,2019-07-29,63,14539
332,2019-07-30,63,16139
333,2019-07-31,63,16328
334,2019-08-01,63,16853
335,2019-08-02,63,17801
336,2019-08-03,64,27445
337,2019-08-04,63,26759
338,2019-08-05,64,15099
339,2019-08-06,61,16751
340,2019-08-07,61,16795
341,2019-08-08,61,16120
342,2019-08-09,61,15081
343,2019-08-10,61,25389
344,2019-08-11,61,26358
345,2019-08-12,61,14618
346,2019-08-13,61,15428
347,2019-08-14,62,16170
348,2019-08-15,62,15929
349,2019-08-16,62,16036
350,2019-08-17,62,23898
351,2019-08-18,62,23577
352,2019-08-19,62,13770
353,2019-08-20,62,14462
354,2019-08-21,61,14230
355,2019-08-22,62,14613
356,2019-08-23,61,15813
357,2019-08-24,62,25040
358,2019-08-25,62,25169
359,2019-08-26,62,14328
360,2019-08-27,62,15726
361,2019-08-28,61,16521
362,2019-08-29,62,16561
363,2019-08-30,62,16638
364,2019-08-31,62,26778
365,2019-09-01,61,24749
366,2019-09-02,61,11509
367,2019-09-03,60,11792
368,2019-09-04,60,12523
369,2019-09-05,61,13061
370,2019-09-06,61,14281
371,2019-09-07,61,21496
372,2019-09-08,61,20424
373,2019-09-09,61,11406
374,2019-09-10,61,11247
375,2019-09-11,61,12222
376,2019-09-12,61,12947
377,2019-09-13,61,12618
378,2019-09-14,61,22606
379,2019-09-15,61,23130
380,2019-09-16,62,11741
381,2019-09-17,62,12741
382,2019-09-18,62,12845
383,2019-09-19,62,12929
384,2019-09-20,62,14262
385,2019-09-21,63,26555
386,2019-09-22,63,25296
387,2019-09-23,63,12718
388,2019-09-24,62,12398
389,2019-09-25,62,12942
390,2019-09-26,61,13005
391,2019-09-27,60,13271
392,2019-09-28,60,23137
393,2019-09-29,60,22436
394,2019-09-30,60,10130
395,2019-10-01,62,11277
396,2019-10-02,62,11499
397,2019-10-03,62,11524
398,2019-10-04,62,12006
399,2019-10-05,62,22252
400,2019-10-06,62,20348
401,2019-10-07,61,10893
402,2019-10-08,61,11640
403,2019-10-09,62,11977
404,2019-10-10,62,11627
405,2019-10-11,62,13691
406,2019-10-12,62,23734
407,2019-10-13,62,23405
408,2019-10-14,62,9899
409,2019-10-15,62,11121
410,2019-10-16,61,12723
411,2019-10-17,62,11919
412,2019-10-18,62,13129
413,2019-10-19,62,22832
414,2019-10-20,62,22615
415,2019-10-21,62,8596
416,2019-10-22,62,11143
417,2019-10-23,62,12016
418,2019-10-24,62,11736
419,2019-10-25,62,12679
420,2019-10-26,62,23912
421,2019-10-27,62,23801
422,2019-10-28,62,10828
423,2019-10-29,62,11259
424,2019-10-30,62,12535
425,2019-10-31,62,13081
426,2019-11-01,62,14040
427,2019-11-02,62,25455
428,2019-11-03,61,25738
429,2019-11-04,61,22353
430,2019-11-05,61,9332
431,2019-11-06,61,10278
432,2019-11-07,62,10783
433,2019-11-08,62,12424
434,2019-11-09,62,23063
435,2019-11-10,62,21602
436,2019-11-11,62,10625
437,2019-11-12,62,11098
438,2019-11-13,62,11193
439,2019-11-14,62,11654
440,2019-11-15,62,13779
441,2019-11-16,62,22974
442,2019-11-17,62,22930
443,2019-11-18,62,10413
444,2019-11-19,62,11275
445,2019-11-20,61,11928
446,2019-11-21,62,13378
447,2019-11-22,62,15532
448,2019-11-23,62,26817
449,2019-11-24,62,26009
450,2019-11-25,62,10980
451,2019-11-26,62,11517
452,2019-11-27,62,12277
453,2019-11-28,63,14623
454,2019-11-29,63,28338
455,2019-11-30,63,35366
456,2019-12-01,63,33219
457,2019-12-02,63,10762
458,2019-12-03,63,10325
459,2019-12-04,63,12116
460,2019-12-05,63,12405
461,2019-12-06,63,13650
462,2019-12-07,63,24894
463,2019-12-08,63,23080
464,2019-12-09,63,9839
465,2019-12-10,63,11235
466,2019-12-11,63,12229
467,2019-12-12,63,12262
468,2019-12-13,63,13655
469,2019-12-14,63,24878
470,2019-12-15,63,23196
471,2019-12-16,63,11586
472,2019-12-17,63,11797
473,2019-12-18,63,12872
474,2019-12-19,63,13187
475,2019-12-20,63,14053
476,2019-12-21,63,25399
477,2019-12-22,63,23641
478,2019-12-23,63,12219
479,2019-12-24,63,13200
480,2019-12-25,62,14547
481,2019-12-26,63,15838
482,2019-12-27,62,15201
483,2019-12-28,62,23862
484,2019-12-29,62,24724
485,2019-12-30,62,16664
486,2019-12-31,62,10253
487,2020-01-01,22,3270
488,2020-01-02,61,24981
489,2020-01-03,61,26648
490,2020-01-04,61,25563
491,2020-01-05,61,25175
492,2020-01-06,61,21308
493,2020-01-07,61,20155
494,2020-01-08,62,18105
495,2020-01-09,62,10477
496,2020-01-10,61,11917
497,2020-01-11,62,20376
498,2020-01-12,61,18981
499,2020-01-13,62,9784
500,2020-01-14,62,10656
501,2020-01-15,62,11433
502,2020-01-16,62,11422
503,2020-01-17,62,12784
504,2020-01-18,62,22482
505,2020-01-19,62,19570
506,2020-01-20,62,9899
507,2020-01-21,62,9895
508,2020-01-22,62,10837
509,2020-01-23,62,10972
510,2020-01-24,62,11515
511,2020-01-25,62,20568
512,2020-01-26,62,20120
513,2020-01-27,62,9718
514,2020-01-28,62,10015
515,2020-01-29,62,9988
516,2020-01-30,62,10300
517,2020-01-31,62,11316
518,2020-02-01,62,19040
519,2020-02-02,62,17964
520,2020-02-03,62,8944
521,2020-02-04,62,9263
522,2020-02-05,62,9653
523,2020-02-06,62,9374
524,2020-02-07,61,9974
525,2020-02-08,62,18327
526,2020-02-09,62,18250
527,2020-02-10,62,9130
528,2020-02-11,62,8988
529,2020-02-12,62,10668
530,2020-02-13,61,11911
531,2020-02-14,62,13776
532,2020-02-15,62,23634
533,2020-02-16,62,22120
534,2020-02-17,62,10539
535,2020-02-18,62,11798
536,2020-02-19,61,11968
537,2020-02-20,61,12736
538,2020-02-21,61,14244
539,2020-02-22,61,25713
540,2020-02-23,61,21720
541,2020-02-24,61,21763
542,2020-02-25,61,10057
543,2020-02-26,61,9674
544,2020-02-27,61,10000
545,2020-02-28,61,11975
546,2020-02-29,61,21329
547,2020-03-01,60,20490
548,2020-03-02,60,8966
549,2020-03-03,60,10052
550,2020-03-04,60,11396
551,2020-03-05,60,11693
552,2020-03-06,60,12831
553,2020-03-07,60,27383
554,2020-03-08,59,25030
555,2020-03-09,60,24691
556,2020-03-10,59,9331
557,2020-03-11,60,10389
558,2020-03-12,61,10633
559,2020-03-13,63,10179
560,2020-03-14,61,20578
561,2020-03-15,61,15971
562,2020-03-16,61,7359
563,2020-03-17,61,6860
564,2020-03-18,61,7147
565,2020-03-19,61,7408
566,2020-03-20,61,7282
567,2020-03-21,61,12066
568,2020-03-22,60,11940
569,2020-03-23,60,5534
570,2020-03-24,61,5542
571,2020-03-25,60,5410
572,2020-03-26,59,5990
573,2020-03-27,59,6781
574,2020-03-28,16,749
575,2020-03-29,4,39
576,2020-03-30,6,54
577,2020-03-31,2,36
578,2020-05-14,2,78
579,2020-05-15,3,32
580,2020-05-16,4,187
581,2020-05-17,3,139
582,2020-05-18,4,121
583,2020-05-19,3,111
584,2020-05-20,3,149
585,2020-05-21,4,171
586,2020-05-22,7,144
587,2020-05-23,5,182
588,2020-05-24,5,148
589,2020-05-25,6,148
590,2020-05-26,5,164
591,2020-05-27,6,175
592,2020-05-28,7,261
593,2020-05-29,6,222
594,2020-05-30,7,275
595,2020-05-31,8,266
596,2020-06-01,39,4278
597,2020-06-02,40,4777
598,2020-06-03,40,4987
599,2020-06-04,38,5539
600,2020-06-05,40,5669
601,2020-06-06,40,11344
602,2020-06-07,40,10614
603,2020-06-08,41,6652
604,2020-06-09,41,7556
605,2020-06-10,40,6524
606,2020-06-11,40,7787
607,2020-06-12,42,12942
608,2020-06-13,42,13272
609,2020-06-14,42,12706
610,2020-06-15,42,6676
611,2020-06-16,42,7117
612,2020-06-17,42,7708
613,2020-06-18,41,7029
614,2020-06-19,42,7653
615,2020-06-20,42,12010
616,2020-06-21,43,14526
617,2020-06-22,50,9220
618,2020-06-23,50,9181
619,2020-06-24,50,15462
620,2020-06-25,52,8832
621,2020-06-26,57,9621
622,2020-06-27,57,15416
623,2020-06-28,55,16119
624,2020-06-29,55,9434
625,2020-06-30,58,9503
626,2020-07-01,57,18165
627,2020-07-02,58,8722
628,2020-07-03,54,8710
629,2020-07-04,56,16360
630,2020-07-05,55,16309
631,2020-07-06,56,8895
632,2020-07-07,55,8521
633,2020-07-08,55,9137
634,2020-07-09,55,9845
635,2020-07-10,56,10320
636,2020-07-11,56,16063
637,2020-07-12,55,14700
638,2020-07-13,57,8513
639,2020-07-14,57,8767
640,2020-07-15,58,10268
641,2020-07-16,57,10697
642,2020-07-17,58,10508
643,2020-07-18,58,17644
644,2020-07-19,57,16668
645,2020-07-20,57,9102
646,2020-07-21,57,9792
647,2020-07-22,57,11079
648,2020-07-23,57,12158
649,2020-07-24,57,11226
650,2020-07-25,57,18979
651,2020-07-26,57,17559
652,2020-07-27,57,8912
653,2020-07-28,58,9951
654,2020-07-29,57,10438
655,2020-07-30,57,10498
656,2020-07-31,57,10739
657,2020-08-01,59,18155
658,2020-08-02,59,17773
659,2020-08-03,57,10208
660,2020-08-04,58,10520
661,2020-08-05,58,10601
662,2020-08-06,58,10569
663,2020-08-07,58,10541
664,2020-08-08,57,16912
665,2020-08-09,58,17609
666,2020-08-10,58,9754
667,2020-08-11,60,11053
668,2020-08-12,58,11250
669,2020-08-13,59,11085
670,2020-08-14,60,11997
671,2020-08-15,60,20644
672,2020-08-16,59,18922
673,2020-08-17,60,10492
674,2020-08-18,60,11137
675,2020-08-19,58,11660
676,2020-08-20,60,12259
677,2020-08-21,60,11633
678,2020-08-22,59,18596
679,2020-08-23,60,18159
680,2020-08-24,60,9763
681,2020-08-25,60,10968
682,2020-08-26,60,10868
683,2020-08-27,60,12132
684,2020-08-28,59,12218
685,2020-08-29,59,22003
686,2020-08-30,60,20577
687,2020-08-31,59,11208
688,2020-09-01,59,9767
689,2020-09-02,58,9696
690,2020-09-03,58,10264
691,2020-09-04,57,10558
692,2020-09-05,57,19242
693,2020-09-06,58,19872
694,2020-09-07,57,9412
695,2020-09-08,57,8988
696,2020-09-09,59,11123
697,2020-09-10,58,10764
698,2020-09-11,58,12227
699,2020-09-12,58,23661
700,2020-09-13,59,21783
701,2020-09-14,58,10328
702,2020-09-15,59,11113
703,2020-09-16,58,11398
704,2020-09-17,58,10183
705,2020-09-18,60,12633
706,2020-09-19,59,24573
707,2020-09-20,58,23347
708,2020-09-21,59,9950
709,2020-09-22,57,10602
710,2020-09-23,58,10744
711,2020-09-24,57,10305
712,2020-09-25,58,10922
713,2020-09-26,58,18641
714,2020-09-27,58,17507
715,2020-09-28,58,7736
716,2020-09-29,58,8802
717,2020-09-30,57,8779
718,2020-10-01,57,6614
719,2020-10-02,56,9059
720,2020-10-03,57,16037
721,2020-10-04,57,16225
722,2020-10-05,57,7764
723,2020-10-06,57,8024
724,2020-10-07,56,8404
725,2020-10-08,57,8151
726,2020-10-09,57,8260
727,2020-10-10,57,15660
728,2020-10-11,57,15655
729,2020-10-12,57,6796
730,2020-10-13,57,6842
731,2020-10-14,57,7920
732,2020-10-15,56,7716
733,2020-10-16,56,7954
734,2020-10-17,56,15506
735,2020-10-18,55,14024
736,2020-10-19,56,7106
737,2020-10-20,56,7241
738,2020-10-21,56,7712
739,2020-10-22,55,6877
740,2020-10-23,55,7634
741,2020-10-24,55,16122
742,2020-10-25,55,15877
743,2020-10-26,56,6834
744,2020-10-27,56,7214
745,2020-10-28,56,7634
746,2020-10-29,56,7414
747,2020-10-30,56,7591
748,2020-10-31,56,14135
749,2020-11-01,56,12903
750,2020-11-02,56,6095
751,2020-11-03,55,7264
752,2020-11-04,55,14710
753,2020-11-05,54,6846
754,2020-11-06,55,7188
755,2020-11-07,53,13921
756,2020-11-08,54,12564
757,2020-11-09,53,6141
758,2020-11-10,53,7197
759,2020-11-11,53,8047
760,2020-11-12,53,7584
761,2020-11-13,53,9484
762,2020-11-14,53,16998
763,2020-11-15,53,17061
764,2020-11-16,53,6996
765,2020-11-17,53,8175
766,2020-11-18,53,7873
767,2020-11-19,50,7497
768,2020-11-20,53,8742
769,2020-11-21,53,17592
770,2020-11-22,52,16886
771,2020-11-23,53,7691
772,2020-11-24,53,8034
773,2020-11-25,52,8699
774,2020-11-26,51,9066
775,2020-11-27,53,15258
776,2020-11-28,53,22818
777,2020-11-29,54,19834
778,2020-11-30,54,6623
779,2020-12-01,54,6588
780,2020-12-02,54,7330
781,2020-12-03,54,7354
782,2020-12-04,54,8672
783,2020-12-05,54,16688
784,2020-12-06,54,16030
785,2020-12-07,54,6765
786,2020-12-08,54,7424
787,2020-12-09,54,7647
788,2020-12-10,54,7941
789,2020-12-11,54,8571
790,2020-12-12,54,16141
791,2020-12-13,54,14381
792,2020-12-14,54,6855
793,2020-12-15,54,7485
794,2020-12-16,53,7829
795,2020-12-17,54,8179
796,2020-12-18,54,9040
797,2020-12-19,54,16033
798,2020-12-20,54,15857
799,2020-12-21,54,8058
800,2020-12-22,54,8891
801,2020-12-23,54,9175
802,2020-12-24,53,9004
803,2020-12-25,54,9276
804,2020-12-26,54,16061
805,2020-12-27,53,17165
806,2020-12-28,54,10218
807,2020-12-29,54,11045
808,2020-12-30,54,11124
809,2020-12-31,54,6931
810,2021-01-01,22,2663
811,2021-01-02,54,16540
812,2021-01-03,53,17841
813,2021-01-04,53,18187
814,2021-01-05,53,16484
815,2021-01-06,53,14847
816,2021-01-07,53,13993
817,2021-01-08,53,15122
818,2021-01-09,53,14130
819,2021-01-10,53,12506
820,2021-01-11,53,6552
821,2021-01-12,53,6498
822,2021-01-13,53,5947
823,2021-01-14,53,5855
824,2021-01-15,53,7247
825,2021-01-16,53,11351
826,2021-01-17,53,11935
827,2021-01-18,53,5427
828,2021-01-19,53,5741
829,2021-01-20,53,6207
830,2021-01-21,53,6409
831,2021-01-22,53,7404
832,2021-01-23,53,12658
833,2021-01-24,53,12968
834,2021-01-25,52,6475
835,2021-01-26,52,6378
836,2021-01-27,54,7678
837,2021-01-28,52,7059
838,2021-01-29,52,7928
839,2021-01-30,52,14610
840,2021-01-31,52,11879
841,2021-02-01,52,6180
842,2021-02-02,52,6469
843,2021-02-03,52,6617
844,2021-02-04,51,6861
845,2021-02-05,51,7369
846,2021-02-06,50,12259
847,2021-02-07,50,12378
848,2021-02-08,52,5521
849,2021-02-09,52,5781
850,2021-02-10,52,6570
851,2021-02-11,53,7712
852,2021-02-12,53,7507
853,2021-02-13,53,12081
854,2021-02-14,53,12485
855,2021-02-15,53,5993
856,2021-02-16,52,6277
857,2021-02-17,52,6893
858,2021-02-18,52,7454
859,2021-02-19,52,8364
860,2021-02-20,52,9984
861,2021-02-21,52,16188
862,2021-02-22,52,15961
863,2021-02-23,52,11615
864,2021-02-24,52,5485
865,2021-02-25,52,6477
866,2021-02-26,51,7451
867,2021-02-27,52,15592
868,2021-02-28,52,14915
869,2021-03-01,50,6744
870,2021-03-02,50,7972
871,2021-03-03,50,8639
872,2021-03-04,50,8253
873,2021-03-05,50,8999
874,2021-03-06,50,19095
875,2021-03-07,50,18660
876,2021-03-08,50,14699
877,2021-03-09,50,6422
878,2021-03-10,50,6579
879,2021-03-11,50,6851
880,2021-03-12,50,7544
881,2021-03-13,50,13824
882,2021-03-14,49,13164
883,2021-03-15,49,6081
884,2021-03-16,49,6904
885,2021-03-17,49,7521
886,2021-03-18,49,7732
887,2021-03-19,49,8548
888,2021-03-20,49,19144
889,2021-03-21,49,17739
890,2021-03-22,51,7551
891,2021-03-23,51,8188
892,2021-03-24,51,8860
893,2021-03-25,51,9702
894,2021-03-26,51,10090
895,2021-03-27,51,20674
896,2021-03-28,51,20261
897,2021-03-29,51,8451
898,2021-03-30,51,8423
899,2021-03-31,51,7736
900,2021-04-01,52,8150
901,2021-04-02,51,8845
902,2021-04-03,51,20011
903,2021-04-04,51,19166
904,2021-04-05,51,7892
905,2021-04-06,51,8595
906,2021-04-07,51,8253
907,2021-04-08,51,7780
908,2021-04-09,51,10123
909,2021-04-10,51,21313
910,2021-04-11,51,21027
911,2021-04-12,51,8510
912,2021-04-13,51,9820
913,2021-04-14,51,9633
914,2021-04-15,51,9774
915,2021-04-16,51,10319
916,2021-04-17,51,19029
917,2021-04-18,51,18310
918,2021-04-19,51,7651
919,2021-04-20,51,7368
920,2021-04-21,51,6935
921,2021-04-22,51,8646
922,2021-04-23,51,8642
923,2021-04-24,51,16023
924,2021-04-25,51,17149
925,2021-04-26,51,6824
926,2021-04-27,51,6456
927,2021-04-28,51,7467
928,2021-04-29,51,7545
929,2021-04-30,51,7673
930,2021-05-01,51,14718
931,2021-05-02,51,14912
932,2021-05-03,51,15715
933,2021-05-04,51,12014
934,2021-05-05,51,12929
935,2021-05-06,51,12127
936,2021-05-07,51,12937
937,2021-05-08,51,12405
938,2021-05-09,51,12669
939,2021-05-10,51,13975
940,2021-05-11,51,7103
941,2021-05-12,51,6715
942,2021-05-13,51,8495
943,2021-05-14,51,9214
944,2021-05-15,51,17428
945,2021-05-16,51,17788
946,2021-05-17,51,8875
947,2021-05-18,51,9414
948,2021-05-19,51,9962
949,2021-05-20,51,9790
950,2021-05-21,51,9545
951,2021-05-22,51,16760
952,2021-05-23,51,17794
953,2021-05-24,51,8444
954,2021-05-25,50,8939
955,2021-05-26,51,9428
956,2021-05-27,51,9145
957,2021-05-28,51,9441
958,2021-05-29,51,14942
959,2021-05-30,51,17400
960,2021-05-31,51,8539
961,2021-06-01,51,9079
962,2021-06-02,51,9526
963,2021-06-03,51,9759
964,2021-06-04,51,9895
965,2021-06-05,51,16934
966,2021-06-06,51,16589
967,2021-06-07,51,8275
968,2021-06-08,51,8463
969,2021-06-09,51,9252
970,2021-06-10,51,8141
971,2021-06-11,51,8888
972,2021-06-12,51,16718
973,2021-06-13,51,17051
974,2021-06-14,51,13977
975,2021-06-15,51,8256
976,2021-06-16,51,9394
977,2021-06-17,51,9702
978,2021-06-18,51,9644
979,2021-06-19,51,15202
980,2021-06-20,51,14948
981,2021-06-21,51,8287
982,2021-06-22,51,8366
983,2021-06-23,51,8939
984,2021-06-24,51,8606
985,2021-06-25,51,8191
986,2021-06-26,51,13006
987,2021-06-27,51,12958
988,2021-06-28,50,6367
989,2021-06-29,51,7572
990,2021-06-30,51,7300
991,2021-07-01,51,8556
992,2021-07-02,51,8878
993,2021-07-03,50,13268
994,2021-07-04,51,13847
995,2021-07-05,51,8095
996,2021-07-06,51,8574
997,2021-07-07,51,8889
998,2021-07-08,51,8762
999,2021-07-09,52,9154
