,0,1,2,3,4,5
205,03006057,03006057,03006057,TV12-BR,,
206,07006023,07006023,07006023,TV12-brak,,
207,01006035,01006035,01006035,TV12-NO,,
208,07006205,07006205,07006205,TV12-OT-NO,,
209,19006218,19006218,19006218,TV6-NO,,
210,07006004,07006004,07006004,TV6-NO-POPUP,,
211,17006004,17006004,17006004,TV6-PDB,,
212,01011114,01011114,01011114,UFA-PL-BA,,
213,02011122,02011122,02011122,UFA-PL-BL,,
214,03011121,03011121,03011121,UFA-PL-BR,,
215,04011120,04011120,04011120,UFA-PL-FA,,
216,06011123,06011123,06011123,UFA-PL-NO,,
217,01006078,01006078,01006078,VEG-BA,,
218,02006078,02006078,02006078,VEG-BL,,
219,04006078,04006078,04006078,VEG-FA,,
220,07006078,07006078,07006078,VEG-NO,,
221,17007196,17007196,17007196,VEG-NO-D,,
222,17007195,17007195,17007195,VEG-NO-U,,
223,17006078,17006078,17006078,VEG-PDB,,
224,01006033,01006033,01006033,VERN-BA,,
225,04006036,04006036,04006036,VERN-FA,,
226,07006001,07006001,07006001,VERN-NO,,
227,07006212,07006212,07006212,VER-NO-DONNA,,
228,07006213,07006213,07006213,VER-NO-UOMO,,
229,07006144,07006144,07006144,VES-NO,,
230,13006143,13006143,13006143,VES-SW,,
231,02006124,02006124,02006124,VG-BL,,
232,07006101,07006101,07006101,VG-VI,,
233,07006239,07006239,07006239,VN-NO-DONNA,,
234,07006217,07006217,07006217,VN-NOONE,,
235,07006238,07006238,07006238,VN-NO-UOMO,,
236,01001047,01001047,01001047,VOL-PH-BA,,
237,02001091,02001091,02001091,VOL-PH-BL,,
238,03001050,03001050,03001050,VOL-PH-BR,,
239,04001047,04001047,04001047,VOL-PH-FA,,
240,07001047,07001047,07001047,VOL-PH-NO,,
241,08001047,08001047,08001047,VOL-PH-VI,,
242,170061833,170061833,170061833,WB,,
243,17006183,17006183,17006183,WHLS-SAMPLE,,
244,00-000004,00-000004,00-000004,ОПТ,,
245,00000004,00000004,00000004,ОПТ,,
246,00006183,00006183,00006183,ОПТ-Lamoda,,
247,17006184,17006184,17006184,ОПТ-TEST,,
248,00-000001,00-000001,00-000001,,,
249,00000001,00000001,00000001,,,
250,01006113,07006248,01006113,ER-BA,,
251,04005048Ж,07005231,04005048,KRK-PL-FA,Ж,
252,04005048М,07005232,04005048,KRK-PL-FA,М,
253,04005048У,07005232,04005048,KRK-PL-FA,У,
254,04005048,07005232,04005048,KRK-PL-FA,,
255,04006004,19006218,04006004,TV6-FA,,
256,04006095Ж,07006243,04006095,BD-OT-FA,Ж,
257,04006095М,07006242,04006095,BD-OT-FA,М,
258,04006095У,07006242,04006095,BD-OT-FA,У,
259,04006095,07006242,04006095,BD-OT-FA,,
260,04006112,07006248,04006112,ER-FA,,
261,04006117,07006249,04006117,FH-OT-FA,,
262,05006142Ж,07006239,05006142,VN-FA,Ж,
263,05006142М,07006238,05006142,VN-FA,М,
264,05006142У,07006238,05006142,VN-FA,У,
265,05006142,07006238,05006142,VN-FA,,
266,06006094Ж,07006243,06006094,BD-OT-NO,Ж,
267,06006094М,07006242,06006094,BD-OT-NO,М,
268,06006094У,07006242,06006094,BD-OT-NO,У,
269,06006094,07006242,06006094,BD-OT-NO,,
270,06006115,07006249,06006115,FH-OT-NO,,
271,07005000Ж,07005231,07005000,KRK-PL-NO,Ж,
272,07005000М,07005232,07005000,KRK-PL-NO,М,
273,07005000У,07005232,07005000,KRK-PL-NO,У,
274,07005000,07005232,07005000,KRK-PL-NO,,
275,07006141Ж,07006239,07006141,VN-NO,Ж,
276,07006141М,07006238,07006141,VN-NO,М,
277,07006141У,07006238,07006141,VN-NO,У,
278,07006141,07006238,07006141,VN-NO,,
279,07006229,07006248,07006229,ER-NO-DO,,
280,07006230,07006248,07006230,ER-NO-UOMO,,
281,07006179,07006248,07006179,ER-NO,,
282,15006167Ж,07006223,15006167,EVR-PO,Ж,
283,15006167М,07006224,15006167,EVR-PO,М,
284,15006167У,07006224,15006167,EVR-PO,У,
285,15006167,07006224,15006167,EVR-PO,,
286,04006040Ж,07006160,04006040,ATR-FA,Ж,
287,04006040М,07006159,04006040,ATR-FA,М,
288,04006040У,07006159,04006040,ATR-FA,У,
289,04006040,07006159,04006040,ATR-FA,,
290,06006132,06006020,06006132,GUM-GZ,,
291,04006167Ж,07006223,04006167,EVR-CA,Ж,
292,04006167М,07006224,04006167,EVR-CA,М,
293,04006167У,07006224,04006167,EVR-CA,У,
294,04006167,07006224,04006167,EVR-CA,,
295,04006034Ж,07006223,04006034,EVR-FA,Ж,
296,04006034М,07006224,04006034,EVR-FA,М,
297,04006034У,07006224,04006034,EVR-FA,У,
298,04006034,07006224,04006034,EVR-FA,,
299,07006146Ж,07006223,07006146,EVR-NO,Ж,
300,07006146М,07006224,07006146,EVR-NO,М,
301,07006146У,07006224,07006146,EVR-NO,У,
302,07006146,07006224,07006146,EVR-NO,,
303,17006167Ж,07006223,17006167,EVR-PDB,Ж,
304,17006167М,07006224,17006167,EVR-PDB,М,
305,17006167У,07006224,17006167,EVR-PDB,У,
306,17006167,07006224,17006167,EVR-PDB,,
307,07006270,07006270,07006270,GUM-UOMO,,
308,07013269,07013269,07013269,SH-NO,,
